time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
4.549785969372789e-05,18424377921539.77,3619624008232894.5,3638048386154434.5
4.550585961538811e-05,18426153125425.6,3618429614077864.0,3636855767203289.5
4.551386094368035e-05,18427928641446.69,3617235009911733.0,3635662938553179.5
4.5521863678851954e-05,18429704469657.91,3616040195697557.5,3634469900167215.5
4.552986782115028e-05,18431480610114.133,3614845171398414.5,3633276652008528.5
4.553787337082275e-05,18433257062870.297,3613649936977363.0,3632083194040233.5
4.5545880328116826e-05,18435033827981.29,3612454492397462.5,3630889526225444.0
4.5553888693280006e-05,18436810905502.023,3611258837621751.0,3629695648527253.0
4.5561898466559845e-05,18438588295487.47,3610062972613279.0,3628501560908766.5
4.556990964820392e-05,18440365997992.527,3608866897335074.0,3627307263333066.5
4.5577922238459876e-05,18442115469691.37,3607678710916823.0,3626120826386514.5
4.558593623757539e-05,18443845671228.89,3606495870759682.0,3624939716430911.0
4.559395164579818e-05,18445576176988.85,3605312822622983.0,3623758398799972.0
4.5601968463376e-05,18447306987024.766,3604129566470141.0,3622576873457166.0
4.5609986690556675e-05,18449038101390.133,3602946102264609.5,3621395140365999.5
4.561800632758805e-05,18450769520138.445,3601762429969778.5,3620213199489917.0
4.562602737471802e-05,18452501243323.227,3600578549549072.5,3619031050792395.5
4.5634049832194513e-05,18454233270998.02,3599394460965895.5,3617848694236893.5
4.5642073700265543e-05,18455965603216.367,3598210164183643.5,3616666129786860.0
4.5650098979179106e-05,18457698240031.8,3597025659165710.5,3615483357405742.5
4.5658125669183266e-05,18459431181497.887,3595840945875483.0,3614300377056981.0
4.566615377052616e-05,18461164427668.164,3594656024276344.5,3613117188704012.5
4.567418328345593e-05,18462897978596.27,3593470894331659.0,3611933792310255.5
4.568221420822078e-05,18464631834335.727,3592285556004802.5,3610750187839138.0
4.569024654506895e-05,18466365994940.176,3591100009259124.0,3609566375254064.0
4.5698280294248744e-05,18468100460463.2,3589914254057982.0,3608382354518445.0
4.5706315456008475e-05,18469835230958.402,3588728290364721.0,3607198125595679.5
4.5714352030596523e-05,18471570306479.43,3587542118142692.5,3606013688449172.0
4.572239001826131e-05,18473305687079.906,3586355737355221.0,3604829043042301.0
4.57304294192513e-05,18475041372813.477,3585169147965633.5,3603644189338447.0
4.573847023381499e-05,18476777363733.773,3583982349937264.0,3602459127300998.0
4.5746512462200935e-05,18478513659894.484,3582795343233410.0,3601273856893304.5
4.5754556104657734e-05,18480250261349.273,3581608127817388.0,3600088378078737.5
4.5762601161434014e-05,18481987168151.805,3580420703652506.5,3598902690820658.5
4.5770647632778464e-05,18483703839407.547,3579238861747733.5,3597722565587141.0
4.57786955189398e-05,18485394325756.344,3578064279366105.0,3596549673691861.5
4.57867448201668e-05,18487085109344.45,3576889490456888.5,3595376575566233.0
