time_days,Nuclei:Pt197 top 1
107.79898562130178,1.6455074848664806e-89
107.81793999510828,1.6454065446173065e-89
107.83689770167571,1.6453055990061846e-89
107.85585874159081,1.6452046480342446e-89
107.87482311543891,1.645103691702623e-89
107.89379082380701,1.6450027300124496e-89
107.91276186728064,1.644901762964863e-89
107.93173624644699,1.644800790560992e-89
107.9507139618918,1.6446998128019763e-89
107.96969501420206,1.6445988296889487e-89
107.98867940396491,1.6444978412230406e-89
108.00766713176638,1.6443968474053937e-89
108.0266581981942,1.644295848237138e-89
108.0456526038346,1.6441948437194133e-89
108.06465034927552,1.644093833853353e-89
108.08365143510338,1.643992818640097e-89
108.10265586190599,1.643891798080779e-89
108.12166363027109,1.643790772176536e-89
108.14067474078551,1.643689740928508e-89
108.15968919403765,1.6435887043378283e-89
108.17870699061451,1.6434876624056398e-89
108.19772813110472,1.643386615133076e-89
108.21675261609549,1.64328556252128e-89
108.23578044617561,1.6431845045713862e-89
108.2548116219325,1.6430834412845377e-89
108.27384614395487,1.6429823726618716e-89
108.29288401283138,1.6428812987045253e-89
108.31192522914981,1.6427802194136436e-89
108.3309697934995,1.6426791347903616e-89
108.35001770646838,1.6425780448358247e-89
108.36906896864596,1.642476949551169e-89
108.38812358062044,1.64237584893754e-89
108.40718154298152,1.6422747429960745e-89
108.42624285631754,1.6421736317279188e-89
108.44530752121814,1.642072515134212e-89
108.46437553827295,1.641971393216095e-89
108.48344690807065,1.641870265974714e-89
108.50252163120153,1.641769133411207e-89
108.52159970825441,1.641667995526722e-89
108.5406811398198,1.6415668523223982e-89
108.55976592648673,1.641465703799383e-89
108.57885406884596,1.641364549958816e-89
108.59794556748669,1.641263390801846e-89
108.61704042299948,1.6411622263296148e-89
108.63613863597494,1.641061056543266e-89
108.65524020700265,1.6409598814439472e-89
108.67434513667382,1.640858701032801e-89
108.69345342557828,1.6407575153109767e-89
108.71256507430739,1.6406563242796158e-89
108.73168008345117,1.640555127939869e-89
108.75079845360085,1.6404539262928804e-89
108.76992018534784,1.640352719339794e-89
108.78904527928238,1.640251507081762e-89
108.80817373599646,1.6401502895199275e-89
108.82730555608053,1.640049066655442e-89
108.84644074012682,1.6399478384894487e-89
108.86557928872598,1.639846605023101e-89
108.88472120247044,1.6397453662575417e-89
108.90386648195106,1.639644122193925e-89
108.92301512776005,1.6395428728333972e-89
108.94216714048972,1.639441618177105e-89
108.96132252073129,1.6393403582262034e-89
108.98048126907763,1.639239092981837e-89
108.99964338612021,1.639137822445161e-89
109.0188088724521,1.639036546617321e-89
109.03797772866497,1.6389352654994722e-89
109.05714995535209,1.638833979092761e-89
109.07632555310536,1.638732687398343e-89
109.0955045225179,1.6386313904173683e-89
109.11468686418291,1.638530088150986e-89
109.13387257869259,1.6384287806003524e-89
109.15306166664074,1.6383274677666155e-89
109.17225412861974,1.638226149650933e-89
109.19144996522365,1.6381248262544532e-89
109.21064917704504,1.638023497578333e-89
109.22985176467776,1.637922163623725e-89
109.2490577287158,1.63782082439178e-89
109.268267069752,1.637719479883657e-89
109.28747978838098,1.6376181301005056e-89
109.3066958851958,1.6375167750434848e-89
109.32591536079124,1.6374154147137457e-89
109.34513821576064,1.6373140491124472e-89
109.36436445069894,1.6372126782407413e-89
109.38359406619969,1.637111302099787e-89
109.40282706285768,1.637009920690739e-89
109.4220634412678,1.6369085340147523e-89
109.44130320202389,1.6368071420729863e-89
109.46054634572147,1.636705744866594e-89
109.47979287295456,1.636604342396738e-89
109.49904278431887,1.6365029346645703e-89
109.51829608040869,1.6364015216712533e-89
109.53755276181987,1.6363001034179413e-89
109.55681282914696,1.6361986799057962e-89
109.57607628298564,1.636097251135975e-89
109.59534312393176,1.635995817109634e-89
109.6146133525801,1.6358943778279374e-89
109.6338869695271,1.6357929332920395e-89
109.65316397536776,1.635691483503105e-89
109.67244437069874,1.63559002846229e-89
109.69172815611519,1.6354885681707585e-89
109.71101533221363,1.6353871026296688e-89
109.73030589959062,1.6352856318401793e-89
109.74959985884168,1.635184155803457e-89
109.76889721056396,1.635082674520658e-89
109.78819795535321,1.6349811879929482e-89
109.80750209380679,1.634879696221486e-89
109.82680962652063,1.634778199207437e-89
109.84612055409237,1.634676696951961e-89
109.86543487711808,1.6345751894562232e-89
109.88475259619524,1.6344736767213864e-89
109.90407371192131,1.634372158748611e-89
109.92339822489281,1.6342706355390653e-89
109.94272613570782,1.6341691070939086e-89
109.96205744496301,1.6340675734143103e-89
109.98139215325672,1.6339660345014297e-89
110.00073026118581,1.6338644903564364e-89
110.02007176934882,1.633762940980491e-89
110.03941667834286,1.633661386374764e-89
110.05876498876627,1.6335598265404175e-89
110.07811670121752,1.6334582614786168e-89
110.09747181629402,1.6333566911905314e-89
110.11683033459481,1.6332551156773242e-89
110.13619225671754,1.6331535349401658e-89
110.15555758326147,1.63305194898022e-89
110.17492631482439,1.6329503577986563e-89
110.19429845200546,1.6328487613966426e-89
110.21367399540381,1.6327471597753438e-89
110.23305294561764,1.632645552935932e-89
110.25243530324671,1.632543940879572e-89
110.27182106888941,1.6324423236074365e-89
110.29121024314571,1.6323407011206904e-89
110.3106028266142,1.632239073420507e-89
110.32999881989508,1.6321374405080525e-89
110.34939822358716,1.6320358023845004e-89
110.36880103829043,1.6319341590510188e-89
110.38820726460507,1.6318325105087767e-89
110.40761690313016,1.631730856758948e-89
110.42702995446649,1.6316291978027e-89
110.44644641921327,1.6315275336412084e-89
110.46586629797154,1.631425864275641e-89
110.4852895913408,1.6313241897071728e-89
110.50471629992221,1.6312225099369727e-89
110.52414642431548,1.6311208249662167e-89
110.54357996512157,1.6310191347960756e-89
110.56301692294166,1.6309174394277204e-89
110.58245729837573,1.6308157388623287e-89
110.60190109202551,1.6307140331010698e-89
110.62134830449124,1.630612322145121e-89
110.64079893637484,1.6305106059956535e-89
110.66025298827672,1.6304088846538453e-89
110.67971046079907,1.6303071581208667e-89
110.69917135454253,1.630205426397897e-89
110.71863567010902,1.6301036894861092e-89
110.73810340810064,1.6300019473866772e-89
110.75757456911838,1.6299002001007805e-89
110.77704915376484,1.6297984476295915e-89
110.79652716264127,1.62969668997429e-89
110.8160085963505,1.6295949271360486e-89
110.83549345549395,1.629493159116049e-89
110.85498174067432,1.6293913859154663e-89
110.87447345249439,1.6292896075354756e-89
110.8939685915559,1.6291878239772588e-89
110.91346715846224,1.6290860352419892e-89
110.93296915381532,1.6289842413308506e-89
110.95247457821881,1.6288824422450164e-89
110.97198343227481,1.62878063798567e-89
110.99149571658715,1.6286788285539866e-89
111.0110114317582,1.6285770139511495e-89
111.0305305783916,1.628475194178336e-89
111.05005315709111,1.628373369236725e-89
111.06957916845938,1.6282715391275003e-89
111.08910861310079,1.628169703851838e-89
111.10864149161822,1.628067863410924e-89
111.12817780461621,1.627966017805935e-89
111.14771755269793,1.6278641670380553e-89
111.16726073646808,1.6277623111084644e-89
111.18680735653004,1.6276604500183467e-89
111.20635741348835,1.6275585837688835e-89
111.22591090794775,1.627456712361255e-89
111.24546784051188,1.6273548357966477e-89
111.26502821178602,1.6272529540762408e-89
111.28459202237406,1.6271510672012216e-89
111.30415927288146,1.6270491751727706e-89
111.32372996391233,1.6269472779920744e-89
111.34330409607199,1.6268453756603155e-89
111.3628816699659,1.6267434681786774e-89
111.38246268619841,1.626641555548348e-89
111.40204714537562,1.626539637770508e-89
