time_days,Nuclei:Fr221 top 6
9.268210870474846,3395494.075487458
9.269840506712537,3395747.7688229247
9.27147042949035,3396001.502835338
9.273100638858649,3396255.2775305524
9.27473113486786,3396509.0929144374
9.276361917568368,3396762.9489928517
9.27799298701058,3397016.845771659
9.279624343244913,3397270.7832567245
9.281255986321796,3397524.7614539103
9.282887916291665,3397778.780369084
9.284520133204966,3398032.84000811
9.286152637112147,3398286.940376853
9.287785428063659,3398541.081481182
9.289418506110003,3398795.2633269667
9.291051871301647,3399049.485920072
9.292685523689073,3399299.69200521
9.294319463322786,3399549.759187301
9.29595369025329,3399799.8664551442
9.297588204531097,3400050.0138145126
9.299223006206736,3400300.201271179
9.300858095330724,3400550.4288309147
9.302493471953634,3400800.696499501
9.304129136126,3401051.0042827083
9.305765087898385,3401301.3521863166
9.307401327321355,3401551.740216097
9.30903785444549,3401802.1683778306
9.310674669321376,3402052.636677295
9.312311771999608,3402303.1451202687
9.313949162530776,3402553.693712526
9.315586840965523,3402804.2824598528
9.317224807354458,3403054.911368028
9.31886306174821,3403305.5804428314
9.32050160419742,3403556.289690045
9.322140434752738,3403807.039115449
9.323779553464819,3404057.828724828
9.325418960384333,3404308.6585239666
9.327058655561952,3404559.528518645
9.32869863904835,3404810.4387146486
