time_days,Nuclei:Hf181 top 19
3.298605620885851,1275451.4657432677
3.299185617103974,1275435.7488831219
3.2997657153032534,1275420.0293486558
3.3003459155016195,1275404.307139431
3.300926217717007,1275388.5822550058
3.3015066219673543,1275372.854694942
3.302087128270601,1275357.1244587991
3.3026677366446866,1275341.3915461379
3.3032484471075696,1275325.655956518
3.3038292596771943,1275309.917689499
3.304410174371514,1275294.1767446415
3.304991191208486,1275278.4331215045
3.3055723102060695,1275262.6868196488
3.3061535313822277,1275246.9378386338
3.306734854754926,1275231.1861780183
3.3073162803421297,1275215.4318373634
3.307897808161821,1275199.674816227
3.3084794382319713,1275183.9151141695
3.309061170570558,1275168.15273075
3.309643005195564,1275152.3876655279
3.310224942124974,1275136.6199180626
3.3108069813767758,1275120.8494879128
3.3113891229689614,1275105.076374638
3.31197136691952,1275089.300577797
3.31255371324646,1275073.522096949
3.3131361619677766,1275057.740931653
3.3137187131014745,1275041.9570814671
3.3143013666655605,1275026.170545951
3.3148841226780457,1275010.3813246628
3.315466981156943,1274994.5894171617
3.316049942120269,1274978.7948230056
3.316633005586043,1274962.9975417536
3.3172161715722845,1274947.1975729633
3.31779944009703,1274931.3949161943
3.3183828111783025,1274915.5895710036
3.3189662848341355,1274899.7815369503
3.3195498610825647,1274883.9708135927
3.320133539941628,1274868.1574004884
3.3207173214293695,1274852.3412971953
3.321301205563832,1274836.5225032717
3.32188519236306,1274820.7010182755
3.322469281845116,1274804.8768417642
3.3230534740280495,1274789.049973296
3.323637768929918,1274773.2204124285
3.3242221665687826,1274757.3881587195
3.3248066669627083,1274741.5532117255
3.3253912701297614,1274725.7155710051
3.3259759760880137,1274709.8787539734
3.3265607848555385,1274694.0416539253
3.327145696450407,1274678.2018598332
3.3277307108907115,1274662.359371251
3.328315828194529,1274646.5141877385
3.328901048379946,1274630.6663088512
3.329486371465053,1274614.8157341478
3.330071797467942,1274598.962463184
3.3306573264067105,1274583.1064955185
3.331242958299456,1274567.2478307069
3.3318286931642764,1274551.3864683066
3.3324145310192885,1274535.522407874
3.333000471882595,1274519.6556489663
3.333586515772309,1274503.786191141
3.334172662706545,1274487.9140339533
3.3347589127034207,1274472.0391769605
3.3353452657810596,1274456.1616197196
3.335931721957585,1274440.2813617855
3.3365182812511187,1274424.3984027163
3.3371049436798046,1274408.5127420675
3.33769170926177,1274392.6243793953
3.338278578015154,1274376.7333142564
3.338865549958096,1274360.8395462064
3.339452625108741,1274344.9430748017
3.3400398034852348,1274329.0438995974
3.3406270851057283,1274313.1420201508
3.3412144699883752,1274297.2374360163
3.341801958151326,1274281.3301467511
3.3423895496127525,1274265.4201519098
3.3429772443908115,1274249.5074510484
3.3435650425036694,1274233.592043723
3.3441529439694957,1274217.6739294878
3.344740948806463,1274201.7531078993
3.3453290570327474,1274185.829578513
3.3459172686665273,1274169.903340883
3.34650558372598,1274153.9743945666
3.3470940022293014,1274138.0427391168
3.347682524194675,1274122.1083740895
3.3482711496402926,1274106.1712990403
3.3488598785843493,1274090.2315135235
3.3494487110450435,1274074.289017094
3.3500376470405757,1274058.343809307
