time_days,Nuclei:Ir195 top 14
0.0003938513380595423,308870148.2064757
0.0003939205892258928,309008170.0603911
0.00039398985256872636,309146216.04372406
0.0003940591280901835,309284286.16066754
0.0003941284157924059,309422380.4154169
0.0003941977156775352,309560498.8121667
0.0003942670277477137,309698641.35511386
0.0003943363520050835,309836808.0484543
0.0003944056884517879,309974998.89638627
0.00039447503708997007,310113213.90310764
0.00039454439792177337,310251453.0728169
0.0003946137709493423,310389716.40971476
0.0003946831561748206,310528003.9180004
0.0003947525536003537,310666315.60187596
0.0003948219632280863,310804651.4655424
0.00039489138506016417,310943011.513203
0.00039496081909873293,311081395.7490603
0.0003950302653459393,311219804.177319
0.00039509972380392944,311358236.8021832
0.0003951691944748508,311496693.6278589
0.0003952386773608504,311635174.65855163
0.00039530817246407647,311773679.8984689
0.0003953776797866767,311913184.6807525
0.00039544719933080007,312052728.50434726
0.00039551673109859513,312192296.7228893
0.00039558627509221145,312331889.3406189
0.00039565583131379847,312471506.3617763
0.0003957253997655065,312611147.790603
0.00039579498044948564,312750813.63134056
0.0003958645733678872,312890503.88823277
0.00039593417852286193,313030218.5655224
0.00039600379591656136,313169957.6674532
0.0003960734255511379,313309721.1982712
0.0003961430674287433,313449509.1622213
0.00039621272155153066,313589321.56355023
0.0003962823879216529,313729158.40650505
0.0003963520665412636,313869019.6953337
0.0003964217574125164,314008905.4342845
0.0003964914605375657,314148815.6276074
0.00039656117591856593,314288750.2795515
0.00039663090355767234,314428709.39436865
0.00039670064345703987,314568692.9763095
0.00039677039561882466,314708701.0296268
0.00039684016004518243,314848733.558573
0.00039690993673827005,314988790.5674025
0.00039697972570024403,315128872.06036913
0.00039704952693326207,315268978.04172873
0.0003971193404394812,315409108.5157363
0.0003971891662210601,315549263.4866494
0.0003972590042801565,315689442.9587246
0.0003973288546189296,315829646.9362205
0.00039739871723953836,315969875.4233955
0.0003974685921441425,316110128.4245098
0.0003975384793349018,316250405.9438233
0.0003976083788139763,316390707.9855966
0.0003976782905835271,316531034.55409217
0.00039774821464571484,316671385.6535719
0.00039781815100270137,316811761.2882995
0.000397888099656648,316952161.46253836
0.0003979580606097174,317092586.1805537
0.0003980280338640717,317233035.4466105
0.0003980980194218742,317373509.26497525
0.0003981680172852879,317514526.6714902
0.0003982380274564769,317656037.1146837
0.0003983080499376049,317797572.29561615
0.0003983780847308367,317939132.2185876
0.0003984481318383368,318080716.8878967
0.0003985181912622708,318222326.3078453
0.0003985882630048038,318363960.4827335
0.0003986583470681025,318505619.4168643
0.0003987284434543325,318647303.1145395
0.00039879855216566113,318789011.58006376
0.0003988686732042552,318930744.81774026
0.00039893880657228243,319072502.8318746
0.00039900895227191064,319214285.6267725
0.0003990791103053079,319356093.2067398
0.00039914928067464326,319497925.5760845
0.00039921946338208533,319639782.73911375
0.00039928965842980394,319781664.7001371
0.0003993598658199685,319923571.46346307
0.0003994300855547495,320065503.03340244
0.00039950031763631727,320207459.4142658
0.00039957056206684307,320349440.6103653
0.0003996408188484978,320491446.6260122
0.00039971108798345355,320633477.46552104
0.0003997813694738821,320775533.1332044
0.00039985166332195623,320917613.633378
0.00039992196952984846,321059718.9703561
0.00039999228809973244,321201849.1484557
0.00040006261903378134,321344004.1719929
0.00040013296233416953,321486184.04528606
0.0004002033180030711,321628388.7726525
0.000400273686042661,321770618.3584121
0.0004003440664551143,321912872.80688405
0.00040041445924260665,322055152.1223895
0.0004004848644073137,322197456.3092489
0.00040055528195141206,322339785.3717852
