time_days,Nuclei:Pb212 top 16
0.6163417757977468,76701932.2471538
0.6164501476190918,76678129.60221724
0.6165585384955328,76654328.65344703
0.61666694843042,76630529.40189701
0.6167753774271049,76606731.84862094
0.6168838254889387,76582935.9946726
0.6169922926192728,76559203.50821978
0.6171007788214623,76535479.59296489
0.6172092840988592,76511757.36889222
0.6173178084548179,76488036.83705157
0.6174263518926927,76464317.99849261
0.6175349144158387,76440600.85426521
0.6176434960276121,76416885.4054192
0.617752096731369,76393171.65300447
0.6178607165304653,76369459.59807113
0.6179693554282607,76345749.24166867
0.6180780134281123,76322040.58484729
0.6181866905333787,76298333.62865706
0.6182953867474195,76274628.37414794
0.6184041020735942,76250924.82237007
0.6185128365152637,76227222.97437353
0.6186215900757888,76203522.8312085
0.6187303627585314,76179824.39392507
0.6188391545668526,76156127.6635738
0.6189479655041173,76132432.64120439
0.6190567955736882,76108739.32786737
0.619165644778929,76085047.72461309
0.6192745131232045,76061357.83249177
0.61938340060988,76037669.65255392
0.6194923072423211,76013983.18584985
0.6196012330238945,75990298.43343006
0.6197101779579658,75966615.3963452
0.619819142047905,75942934.07564533
0.6199281252970792,75919254.47238122
0.6200371277088571,75895576.58760342
0.620146149286608,75871900.4223625
0.6202551900337021,75848225.9777091
0.6203642499535098,75824553.25469391
0.6204733290494023,75800882.25436759
0.6205824273247502,75777212.97778112
0.6206915447829281,75753545.42598471
0.6208006814273077,75729879.60002945
0.6209098372612626,75706215.50096612
0.621019012288167,75682553.12984551
0.6211282065113956,75658918.89172553
0.6212374199343236,75635328.07776393
0.6213466525603268,75611738.98350838
0.6214559043927821,75588151.6100056
0.621565175435065,75564565.95830268
0.6216744656905557,75540982.02944587
0.6217837751626313,75517399.8244823
0.6218931038546704,75493819.34445888
0.622002451770053,75470240.59042245
0.6221118189121587,75446663.56341997
0.6222212052843683,75423088.2644984
0.6223306108900631,75399514.69470467
0.6224400357326237,75375942.85508609
0.622549479815435,75352372.74668923
0.6226589431418785,75328804.37056142
0.6227684257153381,75305237.7277497
0.6228779275391981,75281672.81930126
0.6229874486168431,75258109.64626323
0.6230969889516585,75234548.20968284
0.6232065485470306,75210988.51060723
0.6233161274063457,75187430.55008368
0.62342572553299,75163874.3291597
0.6235353429303535,75140319.84888215
0.6236449796018233,75116767.11029854
0.6237546355507888,75093216.11445622
0.6238643107806391,75069666.8624026
0.6239740052947648,75046119.35518509
0.6240837190965562,75022573.59385112
0.6241934521894051,74999029.57944812
0.6243032045767022,74975487.31302387
0.6244129762618421,74951946.79562536
0.6245227672482171,74928408.02830039
0.6246325775392209,74904871.01209651
0.6247424071382477,74881335.74806133
0.6248522560486924,74857802.23724248
0.6249621242739509,74834270.48068756
0.625072011817419,74810740.4794443
0.6251819186824925,74787212.2345606
0.6252918448725708,74763694.8657792
0.6254017903910509,74740237.79343213
0.6255117552413312,74716782.46911699
0.6256217394268109,74693328.89387734
0.6257317429508896,74669877.06875688
0.6258417658169677,74646426.99479926
0.6259518080284462,74622978.67304814
0.6260618695887264,74599532.10454726
0.6261719505012096,74576087.2903406
0.6262820507693005,74552644.23147148
0.6263921703964014,74529202.92898385
0.6265023093859162,74505763.3839216
0.6266124677412493,74482325.59732853
0.6267226454658059,74458889.57024851
0.6268328425629918,74435455.30372545
0.6269430590362132,74412022.79880323
0.6270532948888757,74388592.05652605
0.6271635501243894,74365163.07793735
0.627273824746161,74341735.86408141
0.6273841187575995,74318310.41600218
0.6274944321621139,74294886.73474374
0.627604764963114,74271464.8213501
0.6277151171640107,74248044.67686535
0.6278254887682149,74224626.30233358
0.6279358797791371,74201209.69879916
0.628046290200192,74177794.86730571
0.6281567200347913,74154381.8088977
0.6282671692863484,74130970.52461928
0.6283776379582776,74107561.01551466
0.6284881260539934,74084153.28262809
0.6285986335769111,74060747.32700382
0.6287091605304468,74037343.14968608
