time_days,Nuclei:Pu241 top 4
0.004060421800608475,23203.45435750624
0.004061135747517868,23211.42532289918
0.004061849819961064,23219.397689774643
0.004062564017960136,23227.371458379035
0.004063278341537156,23235.346628958767
0.004063992790714212,23243.3232017604
0.004064707365513385,23251.30117703044
0.004065422065956763,23259.28055501545
0.004066136892066434,23267.269886617105
0.004066851843864502,23275.272717303247
0.0040675669213730645,23283.276955074507
0.004068282124614223,23291.282600178256
0.004068997453610081,23299.289652861884
0.004069712908382761,23307.298113372974
0.004070428488954371,23315.30798195898
0.004071144195347032,23323.31925886747
0.004071860027582867,23331.331944346053
0.004072575985683999,23339.346038642332
0.004073292069672567,23347.361542004095
0.004074008279570702,23355.378454679027
0.004074724615400543,23363.3967769149
0.0040754410771842295,23371.416508959515
0.004076157664943913,23379.437651060805
0.004076874378701743,23387.460203466657
0.0040775912184798715,23395.484166425005
0.004078308184300455,23403.509540183808
0.004079025276185662,23411.53632499122
0.004079742494157656,23419.564521095243
0.004080459838238605,23427.594128744026
0.004081177308450681,23435.625148185707
0.004081894904816068,23443.657579668572
0.004082612627356944,23451.691423440843
0.004083330476095495,23459.726679750824
0.004084048451053907,23467.763348846813
0.0040847665522543795,23475.8014309773
0.004085484779719107,23483.840926390658
0.00408620313347029,23491.881835335385
0.004086921613530135,23499.92415805999
0.0040876402199208454,23507.967894812995
0.004088358952664643,23516.0130458431
0.004089077811783739,23524.05961139891
0.004089796797300356,23532.107591729124
0.004090515909236713,23540.156987082428
0.004091235147615047,23548.20779770771
0.004091954512457588,23556.260023853763
0.00409267400378657,23564.313665769423
0.00409339362162423,23572.368723703577
0.004094113365992821,23580.42519790529
0.004094833236914585,23588.48308862349
0.004095553234411776,23596.54239610725
