time_days,Nuclei:Lu177 top 13
2.7829199018809303e-05,0.0005182860199313105
2.7834092247051592e-05,0.0005198700732606498
2.7838986335673757e-05,0.0005214544051135413
2.7843881284827067e-05,0.000523039015538955
2.7848777094662834e-05,0.0005246239045858719
2.7853673765332398e-05,0.0005262090723032834
2.7858571296987117e-05,0.0005277945187401878
2.7863469689778374e-05,0.0005293802439455897
2.7868368943857593e-05,0.0005309662479685069
2.7873269059376208e-05,0.0005325525308579626
2.787817003648568e-05,0.000534139092662988
2.788307187533752e-05,0.0005357259334326277
2.788797457608324e-05,0.00053731305321593
2.7892878138874384e-05,0.0005389004520619524
2.7897782563862528e-05,0.0005404881300197631
2.790268785119927e-05,0.0005420789770797017
2.7907594001036247e-05,0.0005437464654378943
2.7912501013525104e-05,0.000545414246989984
2.791740888881753e-05,0.0005470823217875255
2.7922317627065225e-05,0.000548750689882077
2.792722722841992e-05,0.000550419351325209
2.7932137693033387e-05,0.0005520883061685026
2.7937049021057406e-05,0.0005537575544635441
2.7941961212643794e-05,0.0005554270962619318
2.7946874267944393e-05,0.0005570969316152712
2.795178818711106e-05,0.000558767060575177
2.7956702970295704e-05,0.0005604374831932747
2.7961618617650238e-05,0.0005621081995211985
2.7966535129326606e-05,0.0005637792096105884
2.797145250547679e-05,0.0005654505135130991
2.7976370746252788e-05,0.0005671221112803882
2.7981289851806628e-05,0.0005687940029641292
2.7986209822290364e-05,0.0005704661886159979
2.7991130657856083e-05,0.0005721386682876849
2.799605235865588e-05,0.0005738114420308849
2.8000974924841903e-05,0.0005755076323968527
2.8005898356566302e-05,0.0005772635987187621
2.8010822653981274e-05,0.0005790198737916129
2.8015747817239026e-05,0.0005807764576696914
2.802067384649181e-05,0.0005825333504072959
2.802560074189189e-05,0.0005842905520587327
2.803052850359156e-05,0.0005860480626783169
2.8035457131743143e-05,0.0005878058823203746
2.8040386626498983e-05,0.0005895640110392389
2.8045316988011472e-05,0.0005913224488892589
2.8050248216432987e-05,0.0005930811959247817
2.8055180311915977e-05,0.0005948402522001767
2.8060113274612894e-05,0.0005965996177698145
2.8065047104676218e-05,0.0005983592926880797
2.8069981802258456e-05,0.0006001192770093613
2.807491736751215e-05,0.0006018795707880653
2.8079853800589863e-05,0.0006036401740786012
2.8084791101644182e-05,0.0006054010869353895
2.8089729270827722e-05,0.00060716230941286
2.8094668308293135e-05,0.0006089238415654552
2.8099608214193084e-05,0.0006107350989033356
2.8104548988680278e-05,0.0006125833097699244
2.810949063190742e-05,0.0006144318456067703
2.811443314402728e-05,0.0006162807064710165
2.811937652519263e-05,0.0006181298924198108
2.8124320775556274e-05,0.0006199794035103141
2.8129265895271043e-05,0.0006218292397996913
2.8134211884489797e-05,0.0006236794013451264
2.8139158743365427e-05,0.0006255298882038075
2.8144106472050835e-05,0.000627380700432932
2.8149055070698965e-05,0.0006292318380897106
