time_days,Nuclei:Te129 top 9
0.00012344164885107168,332808.49897637375
0.00012346335368569605,332988.047763063
0.0001234850623366973,333167.62811991305
0.00012350677480474633,333347.2400524736
0.00012352849109051442,333526.88356629777
0.00012355021119467272,333706.55866693734
0.00012357193511789273,333886.2653599475
0.0001235936628608459,334066.00365088205
0.00012361539442420387,334245.7735452977
0.00012363712980863838,334425.5750487506
0.0001236588690148213,334605.4081667992
0.00012368061204342458,334786.89952485287
0.00012370235889512039,334968.5765058615
0.0001237241095705809,335150.28543123184
0.0001237458640704784,335332.0263065798
0.00012376762239548546,335513.7991375248
0.0001237893845462745,335695.6039296842
0.00012381115052351836,335877.44068867865
0.00012383292032788973,336059.3094201282
0.00012385469396006165,336241.2101296553
0.00012387647142070703,336423.1428228818
0.00012389825271049917,336605.1075054325
0.00012392003783011122,336787.10418293084
0.00012394182678021672,336969.1328610038
0.00012396361956148905,337151.19354527676
0.00012398541617460198,337333.28624137864
0.00012400721662022914,337515.410954937
0.0001240290208990445,337697.5676915825
0.000124050829011722,337879.7564569447
0.00012407264095893578,338061.97725665616
0.00012409445674136,338244.2300963486
0.00012411627635966913,338426.5149816568
0.0001241380998145375,338608.83191821387
0.00012415992710663985,338791.18091165693
0.00012418175823665072,338973.56196762103
0.00012420359320524507,339155.9750917451
0.00012422543201309776,339338.42028966715
0.00012424727466088384,339520.89756702626
0.00012426912114927858,339703.40692946373
0.00012429097147895714,339885.9483826204
0.00012431282565059508,340068.5219321395
0.0001243346836648678,340251.12758366385
0.00012435654552245108,340433.76534283854
0.00012437841122402057,340616.43521530856
0.00012440028077025228,340799.13720672106
0.0001244221541618221,340983.43274581595
0.00012444403139940627,341167.99067169445
0.00012446591248368096,341352.58104849205
0.0001244877974153226,341537.20388191537
0.00012450968619500758,341721.85917767044
0.0001245315788234126,341906.5469414661
0.00012455347530121433,342091.2671790102
0.0001245753756290897,342276.0198960137
0.0001245972798077155,342460.80509818636
0.00012461918783776896,342645.62279124116
0.0001246410997199272,342830.47298089
0.00012466301545486765,343015.35567284754
0.00012468493504326755,343200.27087282785
