time_days,Nuclei:I132 top 2
0.0003363295262508067,86705.57356097363
0.00033638866331527816,86742.66676153356
0.0003364478107778627,86779.76648419922
0.0003365069686403883,86816.87273011725
0.00033656613690468394,86853.98550043475
0.0003366253155725782,86891.1047962988
0.00033668450464590077,86928.23061885692
0.00033674370412648083,86965.3629692565
0.0003368029140161486,87002.50184864551
0.0003368621343167341,87039.64725817181
0.00033692136503006814,87076.79919898375
0.00033698060615798125,87113.95767222947
0.0003370398577023051,87151.12267905787
0.00033709911966487067,87188.29422061752
0.00033715839204751034,87225.47229805755
0.0003372176748520558,87262.65691252705
0.00033727696808033997,87299.84806517554
0.00033733627173419535,87337.04575715252
0.0003373955858154552,87374.24998960791
0.00033745491032595307,87411.46076369168
0.0003375142452675225,87448.6780805539
0.00033757359064199785,87485.90194134525
0.0003376329464512133,87523.13234721609
0.0003376923126970038,87560.36929931742
0.00033775168938120426,87597.61279880012
0.00033781107650565027,87634.86284681561
0.0003378704740721773,87672.31682266804
0.0003379298820826217,87709.99803086027
0.00033798930053881944,87747.68586454744
0.0003380487294426076,87785.38032489475
0.0003381081687958229,87823.08141306718
0.0003381676186003029,87860.78913023026
0.00033822707885788493,87898.5034775494
0.00033828654957040734,87936.22445619052
0.0003383460307397081,87973.95206731951
0.00033840552236762616,88011.68631210265
0.00033846502445600014,88049.42719170619
0.0003385245370066696,88087.17470729692
0.00033858406002147386,88124.92886004143
0.0003386435935022531,88162.68965110695
0.00033870313745084746,88200.45708166056
0.0003387626918690973,88238.23115286962
0.00033882225675884386,88276.01186590189
0.00033888183212192803,88313.79922192512
0.00033894141796019157,88351.5932221074
0.00033900101427547616,88389.3938676169
0.00033906062106962425,88427.20115962216
0.000339120238344478,88465.0150992917
0.0003391798661018806,88502.83568779456
0.0003392395043436748,88540.6629262996
0.00033929915307170445,88578.4968159763
0.00033935881228781313,88616.33735799389
0.00033941848199384514,88654.18455352228
0.00033947816219164465,88692.03840373115
0.0003395378528830568,88729.89890979079
0.00033959755406992635,88767.76607287134
0.000339657265754099,88805.63989414342
0.0003397169879374203,88843.52037477762
0.00033977672062173646,88881.40751594497
0.0003398364638088937,88919.30131881646
0.000339896217500739,88957.20178456357
0.00033995598169911915,88995.10891435768
0.00034001575640588177,89033.02270937069
0.0003400755416228744,89070.94317077441
0.00034013533735194497,89108.87029974099
0.00034019514359494204,89146.8040974429
0.00034025496035371404,89184.7445650525
0.00034031478763011026,89222.69170374282
0.0003403746254259798,89260.78469991208
0.00034043447374317243,89299.16904550167
0.0003404943325835379,89337.56014021892
0.0003405542019489269,89375.95798525069
0.0003406140818411897,89414.3625817837
0.0003406739722621774,89452.77393100526
0.0003407338732137412,89491.19203410248
0.00034079378469773283,89529.61689226313
0.00034085370671600403,89568.04850667474
0.0003409136392704073,89606.48687852542
0.0003409735823627949,89644.93200900318
0.00034103353599502004,89683.38389929658
0.0003410935001689357,89721.84255059395
0.0003411534748863957,89760.30796408434
0.00034121346014925354,89798.78014095651
0.00034127345595936386,89837.25908239982
0.0003413334623185809,89875.74478960366
0.0003413934792287595,89914.23726375753
0.00034145350669175504,89952.7365060514
0.00034151354470942285,89991.2425176752
0.0003415735932836189,90029.75529981934
0.00034163365241619923,90068.27485367407
0.0003416937221090205,90106.80118043027
0.0003417538023639392,90145.3342812786
0.0003418138931828129,90183.87415741039
0.0003418739945674987,90222.42081001667
0.0003419341065198547,90260.9742402892
0.00034199422904173873,90299.53444941946
0.0003420543621350095,90338.1014385996
0.0003421145058015255,90376.67520902157
0.0003421746600431462,90415.25576187785
