Epsilon_beta,Time [Days]
20515189.415785354,18.427649817140047
20503095.625106294,18.430889964169197
20491005.7625232,18.434130680915743
20478919.82787173,18.43737196747987
20466837.8209872,18.440613823961762
20454759.741704553,18.44385625046163
20442685.589858465,18.447099247079667
20430615.36528291,18.450342813916183
20418549.067811873,18.45358695107141
20406486.697278805,18.456831658645626
20394428.25351682,18.460076936739124
20382373.736358672,18.463322785452227
20370323.145636752,18.466569204885257
20358276.481183045,18.469816195138574
20346233.74282923,18.473063756312538
20334194.930406667,18.47631188850751
20322160.043746088,18.47956059182395
20310129.082678117,18.482809866362253
20298102.047032963,18.48605971222285
20286078.936640427,18.489310129506205
20274059.751329962,18.492561118312786
20262044.490930695,18.495812678743086
20250033.155271307,18.499064810897615
20238025.744180277,18.502317514876864
20226022.257485375,18.505570790781448
20214022.69501433,18.50882463871189
20202027.056594413,18.512079058768776
20190035.34205252,18.5153340510527
20178047.551215153,18.518589615664276
20166063.68390851,18.521845752704138
20154083.73995836,18.525102462272937
20142107.719190165,18.52835974447134
20130135.62142907,18.531617599400004
20118167.44649957,18.534876027159694
20106204.40570844,18.5381350278511
20094319.909357674,18.54139460157496
20082439.29269655,18.54465474843203
20070562.555555258,18.547915468523087
20058689.697763674,18.551176761948923
20046820.719151232,18.554438628810345
20034955.619547173,18.55770106920815
20023094.398780033,18.56096408324325
20011237.056678306,18.56422767101647
19999383.59307005,18.5674918326287
19987534.0077829,18.57075656818083
19975688.300644197,18.57402187777378
19963846.47148087,18.577287761508483
19952008.5201195,18.580554219485894
19940174.446386464,18.583821251806942
19928344.25010734,18.587088858572688
19916517.931107797,18.590357039884097
19904695.48921294,18.593625795842197
19892876.924247544,18.59689512654803
19881062.236036062,18.60016503210265
19869251.424402528,18.60343551260714
19857444.48917064,18.60670656816258
19845641.430163745,18.609978198870092
19833842.24720491,18.613250404830772
19822046.94011653,18.616523186145834
19810255.508720975,18.619796542916408
19798467.95284013,18.623070475243672
19786684.272295516,18.626344983228833
19774904.46690831,18.629620066973107
19763128.536499318,18.632895726577733
19751356.480888974,18.63617196214396
19739588.299897492,18.63944877377303
19727823.993344355,18.642726161566298
19716063.561049055,18.646004125625034
19704307.002830572,18.649282666050574
19692554.318507563,18.65256178294425
19680805.507898293,18.655841476407428
19669060.570820697,18.659121746541484
19657319.50709232,18.66240259344782
19645635.73888936,18.665684017227814
19633976.616150018,18.668966017982957
19622321.324292537,18.672248595814676
19610669.86313996,18.675531750824437
19599022.232515022,18.678815483113723
19587378.43224007,18.682099792784037
19575738.462137092,18.685384679936906
19564102.32202772,18.68867014467386
19552470.011733256,18.691956187096466
19540841.531074718,18.695242807306258
19529216.879872452,18.698530005404898
19517596.057946794,18.70181778149396
19505979.065117583,18.705106135675077
19494365.90120431,18.708395068049896
19482756.566026114,18.71168457872008
19471151.05940179,18.71497466778731
19459549.38114977,18.718265335353287
19447951.531088214,18.721556581519692
19436357.50903463,18.724848406388332
19424767.314806458,18.728140810060925
19413180.948220715,18.731433792639244
19401598.409094032,18.734727354225075
19390019.69724272,18.73802149492023
19378444.81248269,18.74131621482653
19366873.754629496,18.744611514045822
19355306.523498364,18.747907392679966
19343743.118904293,18.751203850830805
19332183.540661525,18.754500888600305
19320627.788584333,18.757798506090346
19309075.862486497,18.761096703402863
19297527.762181457,18.764395480639802
19285983.487482287,18.767694837903136
19274443.0382017,18.770994775294852
19262906.414152067,18.77429529291695
19251373.615145516,18.77759639087142
19239844.640993442,18.78089806926037
19228319.491507262,18.78420032818583
19216798.16649792,18.78750316774987
19205330.038635187,18.790806588054583
19193888.986477487,18.79411058920208
19182451.716989353,18.7974151712945
19171018.229987267,18.800720334433983
19159588.525287464,18.804026078722668
19148162.602705393,18.807332404262798
19136740.462056622,18.810639311156546
19125322.103156146,18.813946799506134
19113907.525818698,18.81725486941379
19102496.72985855,18.820563520981782
19091089.715089727,18.82387275431238
19079686.481325857,18.827182569507865
19068287.02838018,18.830492966670565
19056891.35606579,18.83380394590276
19045499.464194965,18.83711550730687
19034111.35258008,18.84042765098522
19022727.021032996,18.8437403770402
19011346.4693652,18.8470536855742
18999969.697387908,18.85036757668964
18988596.704911858,18.853682050488963
18977227.491747584,18.856997107074612
18965862.057705246,18.860312746549035
18954500.4025944,18.863628969014783
18943142.52622454,18.866945774574333
18931788.428404715,18.870263163330208
18920438.108943634,18.873581135384953
18909091.56764965,18.876899690841128
18897748.804330733,18.88021882980132
18886409.818794515,18.88353855236812
18875074.61084832,18.88685885864415
18863743.180299163,18.890179748732
18852415.526953414,18.8935012227344
18841091.65061741,18.89682328075398
18829771.551097058,18.90014592289343
18818455.22819786,18.903469149255457
18807142.68172498,18.906792959942784
18795833.911483265,18.91011735505816
18784528.917277183,18.91344233470433
18773291.141321696,18.916767898984055
18762064.778083615,18.92009404800019
18750842.149725452,18.923420781855523
18739623.256057188,18.926748100652876
18728408.09688846,18.93007600449511
18717196.672028575,18.93340449348509
18705988.981286462,18.936733567725696
18694785.02447071,18.940063227319847
18683584.801389687,18.94339347237042
18672388.311851054,18.946724302980428
18661195.555662487,18.950055719252802
18650006.53263117,18.953387721290515
18638821.24256397,18.95672030919656
18627639.6852674,18.96005348307395
18616461.860547602,18.963387243025725
18605287.768210378,18.966721589154925
18594117.408061206,18.970056521564626
18582950.779905293,18.97339204035788
18571787.8835472,18.976728145637846
18560628.718791455,18.98006483750763
18549473.285442114,18.983402116070366
18538321.58330292,18.986739981429206
18527173.612177234,18.990078433687334
18516029.371868063,18.993417472947947
18504888.86217813,18.996757099314248
18493752.082909837,19.000097312889448
18482619.033864975,19.00343811377685
18471489.714845274,19.0067795020797
18460364.12565204,19.010121477901272
18449242.26608619,19.01346404134488
18438124.135948323,19.01680719251384
18427009.735038698,19.020150931511495
18415899.06315721,19.023495258441205
18404792.120103505,19.02684017340631
18393688.90567659,19.030185676510268
18382589.419675402,19.033531767856463
18371493.661898475,19.03687844754833
18360426.28159867,19.04022571568931
18349407.57924002,19.04357357238288
18338392.564587094,19.046922017732516
18327381.23744389,19.050271051841722
18316373.59761409,19.05362067481403
18305369.644901156,19.056970886752936
18294369.379107837,19.060321687762073
18283372.800036892,19.06367307794498
18272379.90749065,19.067025057405253
18261390.701271012,19.070377626246508
18250405.181179628,19.073730784572366
18239423.34701777,19.077084532486488
18228445.198586367,19.080438870092536
18217470.735686112,19.083793797494167
18206499.95811699,19.08714931479515
18195532.86567906,19.09050542209917
18184569.458171844,19.09386211950997
18173609.735394552,19.097219407131313
18162653.697146073,19.10057728506697
18151701.3432249,19.10393575342074
18140752.673429232,19.107294812296438
18129807.6875569,19.110654461797893
18118866.385405496,19.11401470202892
18107928.766771972,19.11737553309346
18096994.831453223,19.120736955095357
18086064.57924574,19.124098968138526
18075138.009945583,19.127461572326887
18064215.12334861,19.13082476776438
18053295.919250194,19.134188554554964
18042380.397445437,19.13755293280262
18031468.557729207,19.14091790261131
18020560.399895687,19.144283464085113
18009655.923739042,19.14764961732803
17998755.12905299,19.151016362444114
17987858.015630897,19.154383699537433
17976964.583265822,19.157751628712074
17966074.831750426,19.161120150072147
17955192.993305694,19.16448926372177
17944378.746160295,19.167858969765057
17933568.139974717,19.17122926830623
17922761.1745473,19.174600159449444
17911957.849675875,19.17797164329889
17901158.165157966,19.181343719958786
17890362.120790772,19.184716389533367
17879569.71637109,19.188089652126887
17868780.951695465,19.19146350784361
17857995.82656004,19.194837956787833
17847214.34076074,19.198212999063827
17836436.494092844,19.201588634775984
17825662.286351603,19.204964864028614
17814891.717331804,19.208341686926087
17804124.786827922,19.211719103572776
17793361.494634107,19.21509711407308
17782601.840544116,19.218475718531426
17771845.82435141,19.221854917052237
17761093.4458492,19.225234709739944
17750344.70483006,19.22861509669908
17739599.601086494,19.23199607803411
17728858.134410627,19.23537765384954
17718120.3045942,19.238759824249897
17707386.11142861,19.24214258933973
17696655.554704975,19.245525949223595
17685928.63421399,19.248909904006087
17675205.349746194,19.252294453791766
17664485.701091398,19.255679598685322
17653769.688039456,19.25906533879136
17643057.310379755,19.262451674214535
17632348.567901302,19.265838605059525
17621643.460392825,19.26922613143102
17610941.987642683,19.272614253433733
17600244.149438925,19.276002971172392
17589549.945569213,19.27939228475175
17578859.375821,19.282782194276542
17568172.43998111,19.286172699851615
17557490.010152277,19.28956380158174
17546877.05191634,19.292955499571743
17536267.6883196,19.29634779392646
17525661.919154573,19.29974068475076
17515059.74421342,19.303134172149505
17504461.163288,19.306528256227605
17493866.176169932,19.309922937089937
17483274.782650195,19.313318214841495
17472686.982519694,19.316714089587208
17462102.775568996,19.320110561432035
17451522.16158822,19.32350763048097
17440945.140367236,19.32690529683902
17430371.71169551,19.33030356061121
17419801.875362247,19.333702421902583
17409235.631156266,19.3371018808182
17398672.978866156,19.340501937463113
17388113.9182799,19.34390259194248
17377558.4491854,19.34730384436139
17367006.571370162,19.350705694824985
17356458.28462136,19.35410814343841
17345913.588725805,19.35751119030684
17335372.48346998,19.36091483553547
17324834.968640056,19.36431907922951
17314301.044021953,19.36772392149415
17303770.709400926,19.37112936243471
17293243.964562282,19.37453540215642
17282720.80929079,19.377942040764566
17272201.243370946,19.381349278364446
17261685.26658692,19.384757115061383
17251172.878722515,19.388165550960718
17240664.079561196,19.39157458616781
17230158.868886232,19.394984220788
17219657.246480204,19.39839445492675
17209159.21212573,19.40180528868944
17198664.765604917,19.40521672218151
17188173.90669959,19.4086287555084
17177686.635191225,19.412041388775584
17167216.265206683,19.415454622088554
17156801.468596336,19.418868455552808
17146390.220726054,19.422282889273873
17135982.521382947,19.425697923357266
17125578.370353416,19.42911355790861
17115177.767423917,19.432529793033453
17104780.712380406,19.435946628837396
17094387.205008537,19.43936406542606
17083997.245093636,19.44278210290507
17073610.832420737,19.446200741380093
17063227.966774438,19.449619980956797
17052848.647939194,19.45303982174084
17042472.875698812,19.456460263838004
17032100.649837054,19.459881307353978
17021731.970137272,19.463302952394518
17011366.836382456,19.466725199065387
17001005.248355314,19.470148047472364
16990647.205838155,19.473571497721263
16980292.708613023,19.476995549917902
16969941.756461702,19.480420204168087
16959594.349165358,19.483845460577744
16949250.486505106,19.48727131925272
16938910.168261643,19.49069778029891
16928573.394215345,19.49412484382223
16918240.16414624,19.497552509928617
16907910.47783404,19.50098077872402
16897584.335058138,19.50440965031441
16887261.735597547,19.507839124805777
16876942.679231104,19.5112692023041
16866627.165737014,19.51469988291547
16856315.194893386,19.5181311667459
16846006.76647799,19.52156305390145
16835701.88026822,19.52499554448821
16825400.536041133,19.52842863861228
16815102.733573448,19.531862336379774
16804808.472641613,19.535296637896842
16794517.753021784,19.5387315432696
16784270.93982217,19.542167052604288
16774051.216228474,19.54560316600708
16763834.99589408,19.549039883584182
16753622.27860057,19.55247720544183
16743413.064129174,19.55591513168627
16733207.352260835,19.559353662423774
16723005.142776133,19.56279279776063
16712806.435455333,19.56623253780315
16702611.230078483,19.569672882657617
16692419.526425008,19.57311383243045
16682231.324274268,19.576555387227977
16672046.623405267,19.57999754715658
16661865.42359662,19.583440312322658
16651687.724626627,19.586883682832635
16641513.52627331,19.59032765879294
16631342.828314286,19.593772240310038
16621175.630527029,19.597217427490367
16611011.932688318,19.60066322044049
16600851.73457494,19.60410961926689
16590695.035963252,19.60755662407609
16580541.836629272,19.611004234974647
16570392.136348737,19.614452452069127
16560245.934896985,19.61790127546612
16550103.232049108,19.62135070527223
16539964.027579911,19.624800741594054
16529828.321263595,19.628251384538295
16519696.112874335,19.631702634211592
16509567.402185876,19.63515449072062
16499442.188971652,19.63860695417208
16489320.473004747,19.64206002467269
16479202.25405797,19.64551370232919
16469087.531903718,19.64896798724834
16458976.30631416,19.65242287953691
16448868.577061163,19.65587837930166
16438764.343915997,19.659334486649477
16428663.606649913,19.662791201687156
16418584.669231778,19.666248524521542
16408553.50995854,19.66970645525951
16398525.80910228,19.67316499400795
16388501.566439629,19.676624140873763
16378480.781746896,19.68008389596388
16368463.454800153,19.683544259385204
16358449.585374877,19.687005231244775
16348439.173246525,19.690466811649543
16338432.218190107,19.693929000706497
16328428.71998031,19.697391798522663
16318428.67839154,19.700855205205084
16308432.093197813,19.70431922086081
16298438.96417291,19.707783845596918
16288449.291090308,19.711249079520474
16278463.0737229,19.71471492273866
